TRANSTEXT 7.2.22.0
PRIMARY_LANGID 0
English Text	Translated Text	Item Type
NEED_TRANSLATION
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	""	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	""	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	""	"text"
"\nWould you like to update to this version?"	""	"text"
"% of page"	""	"combobox"
"%d tasks selected"	""	"text"
"%s\n%d Estimated\n%d Actual"	""	"tooltip"
"%s\n%d Estimated\n%d Spent"	""	"tooltip"
"%s\n%d Started\n%d Completed"	""	"tooltip"
"%s\n%d Tasks"	""	"tooltip"
"%s (Custom)"	""	"text"
"%s (Custom, Relative)"	""	"text"
"%s (Delay loaded)"	""	"text"
"%s - %d tasks"	""	"text"
"%s weekdays"	""	"text"
"'%s' contained no tasks which could be imported."	""	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	""	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	""	"text"
"'%s' could not be found."	""	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	""	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	""	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	""	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	""	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	""	"text"
"'%s' could not be opened because the method of encryption could not be determined."	""	"text"
"'%s' could not be opened because the network location is not currently accessible."	""	"text"
"'%s' could not be opened due to an unexpected error (%d)."	""	"text"
"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	""	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	""	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	""	"text"
